iter	Passed	Remaining
0	10	1024
1	17	840
2	25	831
3	32	780
4	40	775
5	47	742
6	55	732
7	62	721
8	70	712
9	78	705
10	85	689
11	93	684
12	99	667
13	107	661
14	114	646
15	122	643
16	129	630
17	135	618
18	142	609
19	149	597
20	157	593
21	164	582
22	172	577
23	178	565
24	185	556
25	192	548
26	199	538
27	207	532
28	213	522
29	221	517
30	228	508
31	236	501
32	242	492
33	248	483
34	257	478
35	263	469
36	271	462
37	279	455
38	288	451
39	295	443
40	304	437
41	311	430
42	321	426
43	328	418
44	337	412
45	344	404
46	354	399
47	361	391
48	369	385
49	376	376
50	385	370
51	392	362
52	401	355
53	408	347
54	416	340
55	423	332
56	431	325
57	439	317
58	449	312
59	457	304
60	464	297
61	472	289
62	479	281
63	488	274
64	496	267
65	504	259
66	511	251
67	521	245
68	529	237
69	537	230
70	543	222
71	552	214
72	558	206
73	566	199
74	572	190
75	580	183
76	587	175
77	593	167
78	601	159
79	607	151
80	616	144
81	622	136
82	629	128
83	636	121
84	642	113
85	650	105
86	657	98
87	665	90
88	671	83
89	679	75
90	686	67
91	692	60
92	700	52
93	706	45
94	715	37
95	721	30
96	729	22
97	735	15
98	742	7
99	750	0
